id,title,author,source_path,tracks,duration_minutes,has_cover
934360c4-3341-41b1-b02d-bc0bde6df779,"1984","George Orwell","/audiobooks/George Orwell Collection - 1984",1,752,true
1b62075b-ad7d-4014-867a-40d46303ab29,"48 Laws Of Power CD 1","Robert Greene","/audiobooks/The 48 Laws Of Power - Robert Greene",50,593,true
6ff55e75-2527-4f6d-81a4-138fa0c4cc9e,"A Search For Beauty In Physics And In Life","Leonard Mlodinow","/audiobooks/Feynman's Rainbow",7,241,true
13e92bd9-c041-4e7f-8729-19f7c0cb78cb,"A Short History of Nearly Everything","Bill Bryson","/audiobooks/Bill Bryson - A Short History of Nearly Everything",343,1098,true
0ea6141b-0a22-450b-a080-59d4d59dac6d,"Afua Hirsch","Afua Hirsch","/audiobooks/Afua Hirsch - 2020 - We Need to Talk About the British Empire (History)",6,227,true
bfabe9c0-d41c-472f-a177-64c86a2b57f4,"Amit Goswami Quantum Physics Consciousness Creativity Healing","Amit Goswami","/audiobooks/Amit Goswami on Quantum Physics, Consciousness, Creativity and Healing",3,107,true
24ad1978-b2a8-4c5d-baf7-838d7300b3bb,"An Appetite for Wonder","Lalla Ward, Richard Dawkins","/audiobooks/Richard Dawkins - An Appetite for Wonder [MP3-C64] (2013)",16,476,true
3ca956d9-121d-4c31-b8b8-963442a4e57f,"And Yet...Essays","Christopher Hitchens","/audiobooks/Christopher HItchens - And Yet",1,693,true
c8c6d809-3d03-424f-8661-da2cd0170370,"Andy Weir","Andy Weir","/audiobooks/Andy Weir - Project Hail Mary",30,971,true
eb9f32d9-e41f-4d49-99d7-9ead48c1cf57,"Archipilago Gulag De Solzenytszyn","Aleksandr Solzhenitsyn","/audiobooks/Archipilago Gulag De Solzenytszyn",1,330,false
aca55602-1bc4-4bd6-9083-e0ae257cbfce,"Arguably: Essays","Christopher Hitchens","/audiobooks/Arguably Essays by Christopher Hitchens",342,1704,true
03dbf0cb-c04f-45a4-b9c5-0dbcfb6ed02b,"Art Logic Illogical World","","/audiobooks/Eugenia Cheng - The Art of Logic in an Illogical World",10,562,true
a1fda3ce-6392-49da-9679-3aec820d5628,"BBC Classics Ultimate Story Collection 90 Unmissable Tales","Oscar Wilde, Arthur Conan Doyle, Various, Virginia Woolf","/audiobooks/BBC Classics Ultimate Story Collection 90 Unmissable Tales",90,1565,true
fdcf1dc0-a254-4848-8412-a192fa2b56f0,"Black Holes and Baby Universes","","/audiobooks/Black Holes and Baby Universes - Stephen Hawking",1,272,true
11f14af0-e6ac-41b6-a436-2238aea9b894,"Blockchain","Alan Wright, Andrew Johnson","/audiobooks/Blockchain The Complete Guide to Uncovering Bitcoin, Cryptocurrency, Bitcoin Technology and the Future of Money",1,298,true
